"ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
62.2386,7,4,5,3,181,2242,1440,4,0,0,0,0,0,2,3,1,6,0,6,0,6
1498.3089,14,6,7,5,181,2242,1440,6,2,3,7,0,1,2,0,0,2,0,9,6,15
1392.9617,7,4,4,3,181,2242,1440,4,0,2,0,0,1,0,2,0,4,0,6,0,6
950.9214,10,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,1,4,0,6,0,6
906.6294,9,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,1,4,0,6,0,6
896.4314,12,7,9,6,163,755,118,7,10,4,6,2,0,0,0,0,0,0,13,8,21
709.7881,14,5,7,4,181,2242,1440,5,0,1,8,2,0,2,0,1,0,0,5,5,10
684.3914,7,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,2,4,0,6,0,6
652.1042,9,3,5,2,181,2242,1440,3,0,0,0,0,0,5,2,0,0,0,2,1,3
593.3522,12,6,7,5,181,2242,1440,6,1,2,7,2,0,2,0,1,1,0,8,7,15
62.3261,8,4,6,3,181,2242,1440,4,0,0,0,0,0,2,3,1,8,0,6,0,6
2060.1175,16,6,11,5,181,2242,1440,6,3,17,5,5,2,4,3,0,0,0,14,1,15
1575.6475,9,4,4,3,163,755,118,4,1,2,0,2,0,0,0,0,0,0,4,2,6
1524.1881,9,4,4,3,163,755,118,4,1,2,0,2,0,0,0,0,0,0,4,2,6
1376.3108,9,3,3,2,163,755,118,3,0,0,1,2,0,0,0,0,0,0,2,1,3
1359.735,12,5,6,4,181,2242,1440,5,0,7,1,2,1,1,0,0,0,0,5,5,10
1184.2067,9,3,3,2,163,755,118,3,1,0,0,2,0,0,0,0,0,0,2,1,3
1093.8389,13,3,8,2,181,2242,1440,3,0,0,5,2,0,0,0,0,0,0,2,1,3
1092.6156,9,4,4,3,163,755,118,4,1,2,0,2,0,0,0,0,0,0,4,2,6
692.8881,12,5,6,4,181,2242,1440,5,0,1,7,2,0,2,0,1,0,0,6,4,10
510.8264,11,5,7,4,181,2242,1440,5,0,1,5,2,0,2,0,1,0,0,7,3,10
323.0144,12,5,6,4,181,2242,1440,5,0,1,7,2,0,2,0,1,0,0,7,3,10
127.9064,11,5,6,4,181,2242,1440,5,0,1,6,2,0,2,0,1,0,0,7,3,10
1606.8489,10,5,6,4,181,2242,1440,5,1,7,0,2,1,0,0,0,0,0,5,5,10
1572.5183,19,3,7,2,181,2242,1440,3,0,0,12,2,0,0,0,0,0,0,2,1,3
1393.4872,7,4,4,3,181,2242,1440,4,0,2,0,0,1,0,2,0,4,0,6,0,6
1162.5864,11,3,10,2,416,2684,783,3,0,0,1,0,0,0,0,0,2,0,2,1,3
1094.3097,11,5,6,4,181,2242,1440,5,0,1,6,2,0,2,0,1,0,0,7,3,10
975.1169,10,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,1,4,0,6,0,6
707.5558,12,5,6,4,181,2242,1440,5,0,1,7,2,0,2,0,1,0,0,7,3,10
683.3075,7,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,2,4,0,6,0,6
683.1889,7,4,4,3,181,2242,1440,4,0,0,0,0,0,2,2,2,4,0,6,0,6
596.0894,12,3,8,2,5,28,19,3,0,0,8,2,0,0,0,0,0,0,2,1,3
572.7347,12,3,4,2,181,2242,1440,3,0,0,8,2,0,0,0,0,0,0,2,1,3
502.1294,11,5,6,4,181,2242,1440,5,0,1,6,2,0,2,0,1,0,0,7,3,10
354.8003,11,5,6,4,181,2242,1440,5,0,1,6,2,0,2,0,1,0,0,7,3,10
106.91,11,5,6,4,181,2242,1440,5,0,1,6,2,0,2,0,1,0,0,7,3,10
93.1831,12,5,10,4,67,367,220,5,0,0,8,2,0,0,0,7,0,0,7,3,10
1696.0986,6,4,4,3,181,2242,1440,4,0,2,0,0,1,0,2,0,4,0,6,0,6
1742.3081,9,4,7,3,163,755,118,4,0,5,0,2,1,0,0,0,0,0,4,2,6
1010.7786,9,3,3,2,370,3863,2311,3,0,0,0,0,0,0,0,2,2,0,2,1,3
84.0417,6,4,6,4,15804,0,0,4,0,1,1,2,0,1,0,0,0,0,4,2,6
1448.8597,9,4,4,3,370,3863,2311,4,0,2,0,0,4,0,0,0,2,0,4,2,6
859.7906,16,5,14,4,67,367,220,5,0,13,0,2,1,0,5,0,2,0,9,1,10
212.7978,10,5,9,4,67,367,220,5,0,1,2,5,0,2,1,1,4,0,7,3,10
165.6278,13,4,13,4,15,0,0,4,0,1,1,7,0,1,3,0,7,0,6,0,6
2088.7325,11,5,10,4,19,572,513,5,1,4,0,7,0,1,2,0,0,0,7,3,10
1741.0444,10,5,7,4,370,3863,2311,5,1,2,5,3,0,0,1,0,3,0,7,3,10
1690.5036,13,5,11,4,23,2061,2019,5,5,8,0,3,0,0,0,0,0,0,6,4,10
994.3714,17,3,5,2,23,2061,2019,3,12,0,0,6,0,0,0,0,0,0,3,0,3
1406.7581,17,3,17,3,67,335,160,3,13,0,0,6,0,0,0,0,0,0,3,0,3
